Portion,Recession,RealEstate,Default
0.5,1,0,0
0.5,0,0,0
0.5,0,0,1
0.5,0,0,0
0.5,0,0,0
0.5,0,0,1
0.75,0,1,0
0.5,0,0,0
0.5,0,0,0
0.85,0,0,1
0.75,0,1,0
0.5,0,0,0
0.5,0,0,1
0.5,0,0,1
0.5,0,0,1
0.5,0,0,1
1,0,1,0
0.5,1,0,1
0.5,0,0,0
0.75,0,0,0
0.5,0,0,0
0.5,0,0,1
0.5,0,0,1
0.75,0,0,0
0.75,0,1,0
0.5,0,0,1
0.85,0,0,0
0.5,0,0,1
0.75,0,1,0
0.5,1,0,1
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,1
0.75,0,0,0
0.5,0,0,1
0.5,0,0,0
0.8,0,0,0
0.5,0,0,1
0.5,0,0,0
0.5,0,0,1
0.5,0,0,1
0.5,1,0,1
0.5,0,0,1
0.5,0,0,0
0.5,0,0,1
0.5,0,0,1
0.5,0,0,0
0.5,0,0,1
0.5,0,0,1
0.5,0,0,1
0.5,0,0,0
1,0,1,0
0.5,0,0,1
0.5,0,0,0
0.5,0,0,1
0.75,0,1,0
0.5,0,0,1
0.5,0,0,1
0.75,0,1,0
0.5,0,0,0
0.5,0,0,1
0.5,0,0,0
0.5,0,0,1
0.5,0,0,1
0.5,0,0,0
0.5,0,0,1
0.5,0,0,1
0.5,0,0,1
0.5,0,0,1
1,0,1,0
0.5,0,0,0
0.8,0,0,0
0.5,0,0,1
0.5,0,0,1
0.5,0,0,1
0.5,0,0,0
0.5,0,0,1
0.5,1,0,1
0.5,0,0,1
0.5,0,0,0
0.5,0,0,0
0.85,0,0,1
0.5,0,0,1
0.5,1,0,1
0.5,0,0,1
0.5,0,0,1
0.5,0,0,0
0.5,0,0,1
0.5,0,0,0
0.5,1,0,1
0.5,1,0,1
0.5,1,0,1
0.5,0,0,1
1,0,1,0
0.5,1,0,1
0.5,0,0,1
0.5,0,0,1
0.75,0,1,1
0.5,0,0,1
0.5,1,0,1
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,1,0,0
0.5,0,0,1
0.5,0,0,1
0.5,1,0,1
0.5,0,0,1
0.5,0,0,0
0.5,0,0,1
0.5,0,0,0
0.5,0,0,1
0.8,1,0,0
0.5,0,0,0
0.85,0,0,1
0.5,1,0,1
0.5,0,0,0
0.5,0,0,1
0.75,0,1,0
0.5,0,0,1
0.5,0,0,0
0.75,1,0,0
0.75,0,0,0
0.85,0,0,0
0.75,0,0,0
0.5,1,0,1
0.5,0,0,0
0.5,0,0,1
0.5,0,0,0
0.75,0,0,0
0.5,0,0,1
0.5,0,0,1
0.5,0,0,1
0.5,0,0,0
0.5,0,0,1
0.5,0,0,1
0.5,0,0,0
0.5,0,0,1
0.75,0,0,0
0.85,1,0,0
0.5,0,0,1
0.5,0,0,1
0.5,0,0,0
0.5,1,0,1
0.5,0,0,1
0.5,0,0,0
0.5,0,0,1
0.5,0,0,0
0.5,0,0,1
0.5,0,0,1
0.5,0,0,0
0.5,0,0,1
0.5,0,0,1
0.5,0,0,1
0.5,0,0,1
0.5,0,0,0
0.5,0,0,0
0.75,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,1
0.75,0,0,0
0.5,0,0,1
0.5,1,0,1
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
1,0,1,0
0.5,0,0,1
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.85,0,0,0
0.5,0,0,1
0.5,0,0,1
0.5,0,0,1
1,0,1,0
0.75,0,0,0
0.85,0,1,0
0.85,0,0,0
0.85,0,0,0
1,0,1,0
0.5,0,0,1
0.5,0,0,1
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,1
0.75,0,1,1
0.5,0,0,1
0.5,0,0,0
1,0,1,0
0.5,0,0,1
0.5,0,0,1
0.5,0,0,1
1,0,1,0
0.5,0,0,1
0.5,0,0,1
0.5,0,0,0
0.5,0,0,1
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,1
0.5,0,0,0
0.5,0,0,1
0.749999041,0,1,1
0.5,0,0,1
0.85,0,0,1
0.5,0,0,1
0.8,0,0,0
0.5,0,0,1
1,0,1,0
0.5,0,0,0
1,0,1,0
0.5,0,0,0
0.75,1,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,1
0.5,1,0,1
0.85,0,0,1
0.5,0,0,1
0.5,0,0,0
0.85,0,0,0
0.5,0,0,1
0.5,0,0,1
0.5,0,0,0
0.5,0,0,1
1,0,1,0
0.5,0,0,0
0.5,0,0,0
0.85,0,0,0
0.5,0,0,0
0.75,1,0,0
0.75,0,0,1
0.5,0,0,1
0.5,0,0,1
0.5,0,0,0
0.5,0,0,0
0.8,0,0,0
0.5,0,0,1
0.5,0,0,0
0.5,0,0,1
0.75,0,1,1
0.5,0,0,0
0.5,0,0,1
0.75,0,1,1
0.5,0,0,1
0.5,0,0,1
0.5,0,0,1
0.5,0,0,1
0.5,0,0,0
0.8,1,0,0
0.5,0,0,0
0.5,0,0,1
0.5,0,0,1
0.5,1,0,1
0.5,0,0,0
0.8,0,0,0
0.75,1,0,0
0.8,0,0,0
0.5,0,0,0
0.5,0,0,1
0.85,0,0,1
0.5,0,0,1
0.5,1,0,1
0.5,0,0,0
0.5,0,0,1
0.75,0,1,0
0.5,0,0,1
0.75,1,0,0
0.5,0,0,1
0.75,0,1,1
0.5,0,0,0
0.5,0,0,1
0.75,0,1,0
0.75,0,1,0
1,0,1,0
0.5,0,0,1
0.5,0,0,0
0.5,1,0,1
0.5,0,0,0
0.85,0,0,1
0.5,0,0,1
0.5,0,0,1
0.5,0,0,1
0.75,0,1,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,1
0.5,0,0,0
0.5,0,0,0
0.5,0,0,1
0.75,0,1,0
0.75,1,0,1
0.5,0,0,1
0.5,1,0,1
0.5,0,0,1
0.85,0,0,1
0.5,0,0,1
0.5,0,0,1
0.5,0,0,1
0.5,1,0,1
0.5,0,0,1
0.5,0,0,1
1,0,1,0
0.85,0,0,1
0.5,0,0,0
0.5,0,0,1
0.5,0,0,1
0.5,0,0,1
0.85,0,0,1
0.85,0,0,1
0.85,0,0,1
0.5,0,0,1
0.5,0,0,0
0.5,0,0,0
0.75,0,1,0
0.75,0,0,1
0.5,0,0,1
0.5,0,0,1
0.5,0,0,1
0.5,0,0,1
0.5,0,0,0
0.5,0,0,1
0.5,0,0,0
0.85,0,0,1
0.5,0,0,1
0.5,0,0,1
0.5,0,0,1
0.5,0,0,0
0.5,0,0,1
0.5,0,0,1
0.5,0,0,1
0.5,0,0,0
0.5,0,0,1
0.5,0,0,1
0.5,0,0,0
0.75,0,1,1
0.75,0,0,1
1,0,1,0
0.75,0,1,1
0.5,0,0,1
0.4,0,0,0
0.5,1,0,1
0.85,0,0,0
0.5,0,0,1
0.5,0,0,1
1,0,1,0
0.5,0,0,1
0.5,0,0,0
0.5,0,0,0
0.8,0,0,0
0.5,0,0,1
0.75,0,1,1
0.5,0,0,1
0.5,0,0,0
0.5,0,0,1
0.75,1,0,0
0.5,0,0,1
0.5,0,0,1
0.5,0,0,0
0.75,0,0,0
0.5,0,0,1
0.75,0,1,0
0.5,0,0,1
0.85,0,0,0
0.5,0,0,0
0.5,0,0,1
0.5,0,0,0
1,0,1,0
0.5,0,0,1
0.8,1,0,0
0.5,0,0,1
1,0,1,0
0.5,0,0,1
1,0,1,0
0.5,0,0,0
0.75,0,0,1
0.5,0,0,1
0.5,0,0,1
0.5,0,0,1
0.5,0,0,0
0.5,0,0,1
1,0,1,0
0.5,0,0,1
0.71428,0,1,0
0.5,0,0,1
1,0,1,0
0.5,0,0,1
1,0,1,0
0.75,0,1,1
0.5,0,0,1
0.5,0,0,1
1,0,1,0
1,0,1,0
0.75,0,1,0
0.75,0,1,0
0.85,0,0,1
0.5,0,0,1
0.85,0,0,1
1,0,1,0
0.5,0,0,0
0.5,0,0,1
0.5,0,0,1
0.85,0,0,1
0.5,0,0,1
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,1
0.5,0,0,1
0.5,0,0,1
0.75,0,0,0
0.5,0,0,0
0.5,0,0,1
0.75,0,0,1
0.5,0,0,0
0.75,0,1,1
0.5,0,0,1
0.5,0,0,1
0.5,0,0,0
0.5,0,0,0
0.5,0,0,1
0.75,0,1,1
0.5,0,0,1
0.5,0,0,1
0.5,0,0,1
0.5,0,0,1
0.5,0,0,1
0.5,0,0,0
0.75,0,1,1
0.5,1,0,1
0.5,0,0,1
0.5,0,0,1
0.5,0,0,1
0.5,0,0,0
0.75,0,1,1
0.5,0,0,0
0.5,0,0,0
0.75,0,1,1
0.5,0,0,1
0.85,0,0,0
0.5,0,0,1
0.5,0,0,0
0.75,0,0,1
0.75,0,0,0
1,0,1,0
0.5,0,0,0
0.5,1,0,1
0.5,0,0,1
0.5,0,0,1
0.5,0,0,1
0.8,0,0,0
0.5,0,0,0
0.75,0,1,1
0.5,0,0,1
0.5,0,0,1
1,0,1,0
0.85,0,0,1
0.85,0,0,1
0.75,0,1,1
0.75,0,0,0
0.75,0,1,0
0.5,0,0,1
0.5,0,0,1
0.5,0,0,1
0.75,0,0,0
0.5,0,0,0
0.5,0,0,1
0.5,0,0,0
0.5,0,0,1
0.5,0,0,1
1,0,1,0
0.5,0,0,1
0.5,0,0,1
0.5,0,0,1
0.5,0,0,1
0.5,0,0,1
0.5,0,0,1
0.5,0,0,0
0.5,0,0,0
1,0,1,0
0.5,0,0,1
0.5,0,0,1
0.5,0,0,1
0.5,0,0,1
1,0,1,0
1,0,1,0
0.5,0,0,1
0.75,0,0,1
0.5,0,0,1
0.5,0,0,0
0.85,0,0,0
0.5,1,0,1
0.5,0,0,1
0.75,0,1,0
0.5,0,0,0
0.5,1,0,1
1,0,1,0
0.5,1,0,1
1,0,1,0
1,0,1,0
0.5,0,0,1
0.5,0,0,1
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,1
0.5,0,0,0
0.5,0,0,1
0.5,0,0,0
0.5,0,0,1
0.5,1,0,1
0.5,0,0,1
0.5,0,0,0
0.85,0,0,1
0.5,0,0,1
1,0,1,0
0.85,0,0,1
0.5,0,0,0
0.5,0,0,1
0.5,0,0,1
1,0,1,0
0.5,0,0,1
0.5,0,0,1
0.5,0,0,1
0.5,0,0,1
0.5,0,0,0
0.5,1,0,1
1,0,1,0
0.5,0,0,1
0.85,0,0,1
0.5,0,0,1
0.85,0,0,1
1,0,1,0
0.5,0,0,0
0.85,0,0,1
0.5,0,0,1
1,0,1,0
0.75,0,0,1
0.85,0,0,1
0.5,0,0,1
0.5,1,0,1
1,0,1,0
0.5,0,0,1
0.5,0,0,1
0.75,1,0,0
0.5,0,0,1
0.75,0,1,0
0.5,0,0,1
0.5,0,0,1
0.85,0,0,1
0.5,0,0,0
0.5,0,0,1
1,0,1,0
0.85,0,0,1
0.5,0,0,1
0.5,0,0,0
0.5,0,0,1
0.5,0,0,0
1,0,1,0
0.85,0,0,0
0.5,0,0,1
0.75,0,1,0
0.5,0,0,1
0.5,0,0,0
0.85,0,0,1
0.5,0,0,1
0.5,0,0,1
0.5,0,0,0
0.5,0,0,1
0.85,0,0,1
0.5,0,0,0
1,0,1,0
0.5,0,0,1
0.5,0,0,0
0.5,0,0,1
1,0,1,0
0.85,0,0,1
0.85,0,0,1
0.5,0,0,1
0.5,1,0,0
0.5,0,0,0
0.5,0,0,1
0.5,0,0,1
0.5,0,0,0
0.5,0,0,0
0.5,0,0,1
0.5,0,0,0
0.85,0,0,1
0.5,1,0,0
0.5,0,0,1
0.5,0,0,1
0.5,0,0,1
1,0,1,0
1,0,1,0
0.5,0,0,1
0.5,0,0,1
0.5,0,0,1
0.75,0,0,0
0.5,0,0,1
0.5,0,0,1
0.5,0,0,1
0.5,0,0,0
0.5,0,0,1
0.5,0,0,1
0.5,0,0,1
0.5,0,0,1
0.5,0,0,0
0.85,0,0,1
0.5,0,0,1
0.5,0,0,1
1,0,1,0
0.5,0,0,1
0.5,0,0,1
0.5,0,0,0
0.75,0,0,1
0.5,0,0,0
0.5,0,0,1
0.5,0,0,1
0.5,0,0,1
0.5,0,0,0
0.5,0,0,0
1,0,1,0
0.85,0,0,1
0.75,0,0,1
0.75,0,0,0
0.5,0,0,1
0.5,0,0,0
0.5,0,0,1
0.5,0,0,0
0.85,0,0,0
0.5,0,0,1
0.5,0,0,1
0.5,0,0,1
0.5,0,0,0
0.5,0,0,1
0.75,0,1,1
0.75,0,0,0
0.5,0,0,1
0.75,1,0,0
0.5,0,0,1
0.5,0,0,1
0.85,0,0,0
0.5,0,0,1
0.85,0,0,1
0.5,0,0,0
0.5,0,0,1
0.75,0,1,0
0.85,0,0,1
1,0,1,0
0.5,0,0,0
0.5,0,0,1
0.5,0,0,1
1,0,1,0
0.5,0,0,1
0.5,0,0,1
0.5,0,0,1
0.75,0,0,0
0.85,0,0,1
0.5,0,0,1
0.5,0,0,1
0.85,0,0,1
0.5,0,0,0
0.5,0,0,0
0.85,0,0,0
0.75,0,1,1
1,0,1,0
0.5,0,0,0
1,0,1,0
0.5,0,0,0
0.5,0,0,1
0.5,0,0,0
0.5,0,0,1
0.5,0,0,1
0.5,1,0,1
0.5,0,0,1
0.5,0,0,1
0.5,0,0,1
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,1
0.5,0,0,1
0.5,0,0,1
0.5,0,0,1
0.5,0,0,1
0.5,0,0,1
0.85,0,0,0
0.5,0,0,0
0.5,0,0,1
0.5,0,0,1
0.8,1,0,0
0.75,0,1,1
1,0,1,0
0.5,0,0,0
0.5,0,0,1
0.5,0,0,1
1,0,1,0
0.5,0,0,1
0.5,0,0,1
0.5,1,0,1
0.5,0,0,0
0.29677,1,0,0
0.5,0,0,1
0.5,0,0,1
1,0,1,0
0.5,0,0,0
0.5,0,0,1
0.75,0,0,0
0.85,0,0,1
0.5,0,0,0
0.5,0,0,0
0.75,0,1,0
0.5,0,0,1
0.5,1,0,1
0.5,0,0,1
0.5,0,0,1
1,0,1,0
0.5,0,0,0
0.5,0,0,1
0.85,0,0,1
0.5,0,0,0
0.5,0,0,1
0.5,0,0,1
0.85,0,0,1
0.5,0,0,0
0.5,0,0,0
0.5,0,0,1
0.75,0,1,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,1
1,0,1,0
0.5,0,0,0
1,0,1,0
0.5,0,0,0
0.5,0,0,1
0.75,0,1,0
0.75,1,0,0
0.75,0,1,0
0.5,0,0,1
0.85,0,0,1
0.85,0,0,1
0.85,0,0,1
1,0,1,0
0.5,0,0,0
0.5,0,0,1
0.5,0,0,0
0.5,0,0,1
0.85,0,0,1
0.5,0,0,1
0.5,0,0,1
0.5,0,0,1
0.5,0,0,1
0.75,0,1,0
0.5,0,0,1
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
0.75,1,0,0
0.5,0,0,1
0.5,0,0,0
0.5,0,0,1
1,0,1,0
0.5,0,0,0
0.85,0,0,1
0.75,0,0,1
1,0,1,0
0.5,0,0,1
0.75,0,1,0
0.8,1,0,0
0.5,0,0,1
0.5,0,0,0
0.5,0,0,1
0.5,0,0,0
0.5,0,0,1
1,0,1,0
0.5,0,0,0
0.5,0,0,1
0.5,0,0,1
0.5,0,0,1
0.5,0,0,1
0.85,0,0,1
0.5,0,0,0
1,0,1,0
1,0,1,0
0.85,0,0,1
0.85,0,0,1
0.75,0,1,0
0.5,0,0,0
1,0,1,0
0.5,0,0,0
0.5,0,0,1
0.5,0,0,0
0.5,0,0,1
0.5,1,0,0
0.5,0,0,1
1,0,1,0
0.5,0,0,0
1,0,1,0
0.5,0,0,1
0.5,0,0,0
1,0,1,0
0.5,0,0,0
0.5,0,0,1
0.5,0,0,1
0.85,0,0,1
0.5,0,0,1
1,0,1,0
0.8,1,0,0
0.5,0,0,0
0.8,0,0,0
0.85,0,0,1
0.85,0,0,1
0.5,0,0,1
0.75,0,1,0
0.85,0,0,0
0.75,0,1,0
0.75,0,1,0
0.75,0,0,0
0.5,0,0,0
1,0,1,0
0.5,0,0,0
0.5,0,0,1
1,0,1,0
0.5,0,0,1
0.5,0,0,1
0.85,0,0,1
0.5,0,0,0
0.75,0,0,0
0.5,0,0,0
0.75,0,1,0
0.85,0,0,1
0.75,0,1,0
1,0,1,0
0.85,0,0,0
0.75,0,0,0
0.5,0,0,0
1,0,1,0
0.75,0,0,0
0.85,0,0,1
0.75,0,1,0
1,0,1,0
0.85,0,0,1
0.8,0,0,1
0.75,0,0,0
0.8,0,1,0
0.8,0,0,1
0.75,0,0,0
0.75,0,0,1
1,0,1,0
0.75,0,1,0
1,0,1,0
1,0,1,0
0.75,0,0,0
0.5,0,0,0
0.5,0,0,1
0.5,0,0,0
0.5,0,0,1
0.85,0,0,0
0.75,0,0,0
0.5,0,0,0
0.85,0,0,1
0.75,0,0,0
0.85,0,0,1
0.85,0,0,0
0.75,0,1,0
0.75,0,1,1
0.85,0,0,1
0.85,0,0,0
0.5,0,0,1
0.85,0,0,1
0.8,0,0,0
0.75,0,1,0
0.75,0,1,0
0.75,0,0,0
0.878,0,0,0
0.9,0,0,1
1,0,1,0
0.9,0,1,0
0.9,0,1,0
0.5,0,0,0
0.9,0,1,0
0.9,0,0,0
0.5,0,0,0
0.5,0,0,0
0.85,0,0,0
0.75,0,1,0
0.5,0,0,1
0.9,0,0,1
0.75,0,0,0
0.9,0,0,0
0.75,0,0,0
0.75,0,0,1
0.75,0,0,0
0.9,0,0,1
0.75,0,0,0
1,0,1,0
0.9,0,0,0
0.5,0,0,0
0.9,0,0,0
0.85,0,0,0
0.85,0,1,0
0.5,0,0,0
0.85,0,0,0
0.75,0,1,0
0.9,0,0,1
0.9,0,0,0
0.9,0,0,0
1,0,1,0
0.847,0,0,0
0.85,0,0,0
0.85,0,1,0
0.9,0,0,1
0.75,0,0,0
0.9,0,0,0
0.9,0,1,0
0.9,0,0,0
0.75,0,1,0
1,0,1,0
0.8,1,0,1
0.9,0,0,0
0.75,0,1,0
0.9,0,0,1
0.75,0,0,1
0.5,0,0,0
0.9,0,0,0
0.75,0,0,0
0.9,0,0,0
0.75,0,0,0
0.9,0,1,0
0.9,0,1,0
0.9,0,0,0
0.9,0,1,0
0.9,0,0,0
0.9,0,1,0
0.75,0,1,0
0.8,0,0,0
0.75,0,1,0
0.75,0,0,0
0.75,0,1,0
0.9,0,1,0
0.75,0,0,0
0.9,0,0,0
0.9,0,1,0
0.9,0,1,0
1,0,1,0
0.75,0,1,0
0.75,0,1,0
0.9,0,0,1
0.75,0,1,0
0.8,0,0,0
0.7254,0,1,0
0.9,0,1,0
0.75,0,1,0
0.75,0,1,0
0.5,0,0,0
0.9,0,0,0
0.9,0,0,1
0.9,0,1,0
0.9,0,0,1
0.8,0,1,0
0.9,0,1,0
0.75,0,0,0
0.75,0,1,0
0.5,0,0,0
0.506439304,0,1,0
0.50643956,0,1,0
0.9,0,1,0
0.9,0,0,0
0.75,0,1,0
0.75,0,1,0
1,0,1,0
0.5,0,0,0
0.75,0,1,0
0.9,0,1,0
0.652739774,0,1,0
1,0,1,0
0.75,0,0,0
0.75,0,0,0
0.75,0,1,0
0.75,0,0,1
0.8,0,0,0
0.75,0,1,0
0.75,0,1,0
0.75,0,0,1
0.9,0,0,0
0.5,0,0,0
0.5,0,0,1
1,0,1,0
0.9,0,0,1
0.5,0,0,0
1,0,1,0
1,0,1,0
0.8,1,0,0
0.9,0,0,0
0.9,0,0,0
0.5,0,0,0
0.9,0,0,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
0.5,0,0,0
0.5,0,0,0
0.85,0,0,1
1,0,1,0
0.75,0,0,0
0.5,0,0,0
0.75,0,1,0
0.85,0,0,0
0.8,0,0,0
0.75,0,0,0
0.8,1,0,0
0.75,0,0,0
1,0,1,0
0.5,0,0,0
0.75,0,1,0
0.5,0,0,0
0.75,0,0,0
0.85,0,0,0
0.5,0,0,0
1,0,1,0
0.85,0,0,0
0.75,0,1,0
0.85,1,0,0
0.75,0,0,0
0.75,0,1,0
0.75,0,1,0
0.8,0,0,0
0.75,0,1,0
1,0,1,0
0.75,1,0,0
0.5,0,0,1
0.9,0,0,0
0.9,0,0,0
0.9,0,1,0
0.75,0,1,0
0.9,0,1,0
0.85,0,0,0
0.9,0,0,0
0.75,0,1,0
1,0,1,0
0.9,0,0,0
0.85,0,0,0
0.9,0,0,0
0.75,0,0,0
1,0,1,0
0.8,0,0,0
0.9,0,0,0
0.85,1,0,0
0.75,0,1,0
0.9,0,1,0
0.75,0,1,0
0.9,0,0,0
0.75,0,0,0
0.5,0,0,0
0.5,0,0,0
0.9,0,0,0
0.9,0,1,0
1,0,1,0
0.9,0,0,0
0.75,0,1,0
0.75,0,1,0
0.75,0,1,0
0.5,0,0,0
0.75,0,1,0
0.9,0,1,0
0.85,0,1,0
0.75,0,1,0
1,0,1,0
0.9,0,0,1
0.8,0,0,0
0.5,1,0,0
1,0,1,0
0.5,0,0,1
0.85,0,0,0
0.75,0,0,0
0.9,0,0,0
0.85,0,0,0
0.85,0,0,0
0.82,0,0,0
0.9,0,0,1
0.9,0,0,0
0.75,0,1,0
0.8,0,0,0
0.75,0,0,0
0.85,0,1,0
0.9,0,1,0
0.85,0,1,0
0.75,0,0,0
0.75,0,1,0
0.9,0,0,0
0.75,0,1,0
0.75,0,1,0
0.75,0,1,0
0.8,0,0,0
0.9,0,0,0
0.9,0,0,0
0.75,0,1,0
0.75,0,1,0
0.75,0,1,0
0.9,0,0,0
0.85,0,1,0
1,0,1,0
1,0,1,0
0.75,0,0,0
0.85,0,0,0
0.85,0,1,0
0.85,0,1,0
0.75,0,1,0
0.85,0,1,0
1,0,1,0
1,0,1,0
0.9,0,0,0
0.75,0,1,0
0.85,0,0,0
0.85,0,0,0
0.75,0,0,0
0.75,0,0,0
0.75,1,0,0
0.85,0,1,0
0.75,1,0,0
0.8,0,0,0
0.85,0,0,1
0.75,0,0,0
0.75,0,0,0
0.5,0,0,0
0.75,0,1,0
0.75,0,1,0
0.75,1,0,0
0.85,0,0,0
0.9,0,0,0
1,0,1,0
0.5,0,0,0
0.801,0,1,0
1,0,1,0
0.85,0,0,0
0.85,1,0,0
0.75,0,0,0
1,0,1,0
0.75,0,1,0
0.75,0,0,0
0.9,0,0,0
1,0,1,0
0.85,0,0,1
0.75,0,0,0
0.85,0,0,0
0.75,0,1,0
0.9,0,1,0
1,0,1,0
0.75,0,0,0
0.799997996,0,1,0
1,0,1,0
0.75,0,1,0
0.75,0,1,0
0.75,0,1,0
1,0,1,0
0.5,1,0,0
0.85,1,0,0
0.85,0,0,0
0.75,0,0,0
0.85,1,0,0
0.5,0,0,0
0.85,0,1,0
0.75,0,1,0
0.75,0,1,0
1,0,1,0
0.75,0,1,0
1,0,1,0
0.75,0,1,0
0.75,0,0,0
0.5,0,1,0
1,0,1,0
0.75,0,0,0
0.5,0,0,0
0.65,0,0,0
0.5,0,0,1
0.5,0,0,0
1,0,1,0
0.5,0,0,1
0.85,1,0,0
0.75,0,1,0
0.75,0,1,0
0.5,0,0,0
0.75,0,1,0
0.75,0,1,0
1,0,1,0
0.5,1,0,0
0.75,0,1,0
0.75,0,0,0
0.75,0,1,0
1,0,1,0
0.5,0,0,0
0.85,0,0,0
0.5,1,0,0
0.5,0,0,0
0.9,0,0,0
0.5,0,0,0
0.75,0,0,0
0.85,0,0,1
0.75,0,1,0
0.5,1,0,0
0.75,0,1,0
0.75,0,0,0
1,0,1,0
0.75,0,1,0
0.75,0,0,0
0.75,0,1,0
0.9,0,0,0
0.75,0,0,0
0.75,0,1,0
0.5,1,0,0
0.75,0,1,0
0.75,0,1,0
0.85,0,0,0
0.85,1,0,0
0.75,0,1,0
0.75,0,1,0
0.75,0,0,0
0.85,1,0,0
0.8,0,0,0
0.75,0,1,0
0.75,0,0,0
0.5,0,0,1
0.9,0,0,0
0.5,0,0,1
0.5,0,0,0
0.75,0,1,0
0.75,0,1,0
0.5,0,0,0
0.75,1,0,0
1,0,1,0
0.75,0,0,0
0.75,0,1,0
0.75,0,1,0
0.75,0,1,0
0.5,0,0,1
0.75,0,1,0
0.85,0,1,0
0.85,0,0,0
0.739589527,0,1,0
0.75,0,1,0
0.75,0,1,0
0.85,1,0,0
0.85,0,0,1
1,0,1,0
0.75,0,1,0
0.85,0,0,0
1,0,1,0
0.5,0,0,0
0.5,0,0,0
0.75,0,1,0
0.85,0,0,1
0.85,0,0,1
1,0,1,0
0.75,0,0,0
0.5,0,0,0
0.9,0,0,0
1,0,1,0
0.75,0,1,0
0.75,0,0,0
0.5,0,0,0
1,0,1,0
0.85,1,0,0
0.5,0,0,0
0.75,0,1,0
0.85,0,0,0
0.5,0,0,0
0.75,0,1,0
0.75,0,1,0
0.75,0,0,0
0.5,0,0,1
1,0,1,0
0.75,0,1,0
0.75,0,1,0
0.5,1,0,0
0.9,0,0,0
0.5,1,0,0
0.5,0,0,0
0.75,0,0,0
0.75,0,1,0
1,0,1,0
1,0,1,0
0.85,0,1,0
0.689654483,0,0,0
0.75,0,1,0
0.5,0,0,0
0.85,0,0,0
0.85,0,0,0
0.75,0,1,0
0.75,0,1,0
0.5,0,0,0
